station,window_start,window_end,asset_hint
RS03AXPS,2025-01-01T00:00:00Z,2025-01-01T00:10:00Z,ooi://RS03AXPS/2025/01/01/000000.mseed
RS03AXPS,2025-01-01T00:10:00Z,2025-01-01T00:20:00Z,ooi://RS03AXPS/2025/01/01/001000.mseed
RS03AXPS,2025-01-01T00:20:00Z,2025-01-01T00:30:00Z,ooi://RS03AXPS/2025/01/01/002000.mseed
RS03AXPS,2025-01-01T00:30:00Z,2025-01-01T00:40:00Z,ooi://RS03AXPS/2025/01/01/003000.mseed
RS03AXPS,2025-01-01T00:40:00Z,2025-01-01T00:50:00Z,ooi://RS03AXPS/2025/01/01/004000.mseed
RS03AXPS,2025-01-01T00:50:00Z,2025-01-01T01:00:00Z,ooi://RS03AXPS/2025/01/01/005000.mseed
RS03AXPS,2025-01-01T01:00:00Z,2025-01-01T01:10:00Z,ooi://RS03AXPS/2025/01/01/010000.mseed
RS03AXPS,2025-01-01T01:10:00Z,2025-01-01T01:20:00Z,ooi://RS03AXPS/2025/01/01/011000.mseed
RS03AXPS,2025-01-01T01:20:00Z,2025-01-01T01:30:00Z,ooi://RS03AXPS/2025/01/01/012000.mseed
RS03AXPS,2025-01-01T01:30:00Z,2025-01-01T01:40:00Z,ooi://RS03AXPS/2025/01/01/013000.mseed
RS03AXPS,2025-01-01T01:40:00Z,2025-01-01T01:50:00Z,ooi://RS03AXPS/2025/01/01/014000.mseed
RS03AXPS,2025-01-01T01:50:00Z,2025-01-01T02:00:00Z,ooi://RS03AXPS/2025/01/01/015000.mseed
RS03AXPS,2025-01-01T02:00:00Z,2025-01-01T02:10:00Z,ooi://RS03AXPS/2025/01/01/020000.mseed
RS03AXPS,2025-01-01T02:10:00Z,2025-01-01T02:20:00Z,ooi://RS03AXPS/2025/01/01/021000.mseed
RS03AXPS,2025-01-01T02:20:00Z,2025-01-01T02:30:00Z,ooi://RS03AXPS/2025/01/01/022000.mseed
RS03AXPS,2025-01-01T02:30:00Z,2025-01-01T02:40:00Z,ooi://RS03AXPS/2025/01/01/023000.mseed
RS03AXPS,2025-01-01T02:40:00Z,2025-01-01T02:50:00Z,ooi://RS03AXPS/2025/01/01/024000.mseed
RS03AXPS,2025-01-01T02:50:00Z,2025-01-01T03:00:00Z,ooi://RS03AXPS/2025/01/01/025000.mseed
RS03AXPS,2025-01-01T03:00:00Z,2025-01-01T03:10:00Z,ooi://RS03AXPS/2025/01/01/030000.mseed
RS03AXPS,2025-01-01T03:10:00Z,2025-01-01T03:20:00Z,ooi://RS03AXPS/2025/01/01/031000.mseed
RS03AXPS,2025-01-01T03:20:00Z,2025-01-01T03:30:00Z,ooi://RS03AXPS/2025/01/01/032000.mseed
RS03AXPS,2025-01-01T03:30:00Z,2025-01-01T03:40:00Z,ooi://RS03AXPS/2025/01/01/033000.mseed
RS03AXPS,2025-01-01T03:40:00Z,2025-01-01T03:50:00Z,ooi://RS03AXPS/2025/01/01/034000.mseed
RS03AXPS,2025-01-01T03:50:00Z,2025-01-01T04:00:00Z,ooi://RS03AXPS/2025/01/01/035000.mseed
RS03AXPS,2025-01-01T04:00:00Z,2025-01-01T04:10:00Z,ooi://RS03AXPS/2025/01/01/040000.mseed
RS03AXPS,2025-01-01T04:10:00Z,2025-01-01T04:20:00Z,ooi://RS03AXPS/2025/01/01/041000.mseed
RS03AXPS,2025-01-01T04:20:00Z,2025-01-01T04:30:00Z,ooi://RS03AXPS/2025/01/01/042000.mseed
RS03AXPS,2025-01-01T04:30:00Z,2025-01-01T04:40:00Z,ooi://RS03AXPS/2025/01/01/043000.mseed
RS03AXPS,2025-01-01T04:40:00Z,2025-01-01T04:50:00Z,ooi://RS03AXPS/2025/01/01/044000.mseed
RS03AXPS,2025-01-01T04:50:00Z,2025-01-01T05:00:00Z,ooi://RS03AXPS/2025/01/01/045000.mseed
RS03AXPS,2025-01-01T05:00:00Z,2025-01-01T05:10:00Z,ooi://RS03AXPS/2025/01/01/050000.mseed
RS03AXPS,2025-01-01T05:10:00Z,2025-01-01T05:20:00Z,ooi://RS03AXPS/2025/01/01/051000.mseed
RS03AXPS,2025-01-01T05:20:00Z,2025-01-01T05:30:00Z,ooi://RS03AXPS/2025/01/01/052000.mseed
RS03AXPS,2025-01-01T05:30:00Z,2025-01-01T05:40:00Z,ooi://RS03AXPS/2025/01/01/053000.mseed
RS03AXPS,2025-01-01T05:40:00Z,2025-01-01T05:50:00Z,ooi://RS03AXPS/2025/01/01/054000.mseed
RS03AXPS,2025-01-01T05:50:00Z,2025-01-01T06:00:00Z,ooi://RS03AXPS/2025/01/01/055000.mseed
RS03AXPS,2025-01-01T06:00:00Z,2025-01-01T06:10:00Z,ooi://RS03AXPS/2025/01/01/060000.mseed
RS03AXPS,2025-01-01T06:10:00Z,2025-01-01T06:20:00Z,ooi://RS03AXPS/2025/01/01/061000.mseed
RS03AXPS,2025-01-01T06:20:00Z,2025-01-01T06:30:00Z,ooi://RS03AXPS/2025/01/01/062000.mseed
RS03AXPS,2025-01-01T06:30:00Z,2025-01-01T06:40:00Z,ooi://RS03AXPS/2025/01/01/063000.mseed
RS03AXPS,2025-01-01T06:40:00Z,2025-01-01T06:50:00Z,ooi://RS03AXPS/2025/01/01/064000.mseed
RS03AXPS,2025-01-01T06:50:00Z,2025-01-01T07:00:00Z,ooi://RS03AXPS/2025/01/01/065000.mseed
RS03AXPS,2025-01-01T07:00:00Z,2025-01-01T07:10:00Z,ooi://RS03AXPS/2025/01/01/070000.mseed
RS03AXPS,2025-01-01T07:10:00Z,2025-01-01T07:20:00Z,ooi://RS03AXPS/2025/01/01/071000.mseed
RS03AXPS,2025-01-01T07:20:00Z,2025-01-01T07:30:00Z,ooi://RS03AXPS/2025/01/01/072000.mseed
RS03AXPS,2025-01-01T07:30:00Z,2025-01-01T07:40:00Z,ooi://RS03AXPS/2025/01/01/073000.mseed
RS03AXPS,2025-01-01T07:40:00Z,2025-01-01T07:50:00Z,ooi://RS03AXPS/2025/01/01/074000.mseed
RS03AXPS,2025-01-01T07:50:00Z,2025-01-01T08:00:00Z,ooi://RS03AXPS/2025/01/01/075000.mseed
RS03AXPS,2025-01-01T08:00:00Z,2025-01-01T08:10:00Z,ooi://RS03AXPS/2025/01/01/080000.mseed
RS03AXPS,2025-01-01T08:10:00Z,2025-01-01T08:20:00Z,ooi://RS03AXPS/2025/01/01/081000.mseed
RS03AXPS,2025-01-01T08:20:00Z,2025-01-01T08:30:00Z,ooi://RS03AXPS/2025/01/01/082000.mseed
RS03AXPS,2025-01-01T08:30:00Z,2025-01-01T08:40:00Z,ooi://RS03AXPS/2025/01/01/083000.mseed
RS03AXPS,2025-01-01T08:40:00Z,2025-01-01T08:50:00Z,ooi://RS03AXPS/2025/01/01/084000.mseed
RS03AXPS,2025-01-01T08:50:00Z,2025-01-01T09:00:00Z,ooi://RS03AXPS/2025/01/01/085000.mseed
RS03AXPS,2025-01-01T09:00:00Z,2025-01-01T09:10:00Z,ooi://RS03AXPS/2025/01/01/090000.mseed
RS03AXPS,2025-01-01T09:10:00Z,2025-01-01T09:20:00Z,ooi://RS03AXPS/2025/01/01/091000.mseed
RS03AXPS,2025-01-01T09:20:00Z,2025-01-01T09:30:00Z,ooi://RS03AXPS/2025/01/01/092000.mseed
RS03AXPS,2025-01-01T09:30:00Z,2025-01-01T09:40:00Z,ooi://RS03AXPS/2025/01/01/093000.mseed
RS03AXPS,2025-01-01T09:40:00Z,2025-01-01T09:50:00Z,ooi://RS03AXPS/2025/01/01/094000.mseed
RS03AXPS,2025-01-01T09:50:00Z,2025-01-01T10:00:00Z,ooi://RS03AXPS/2025/01/01/095000.mseed
RS03AXPS,2025-01-01T10:00:00Z,2025-01-01T10:10:00Z,ooi://RS03AXPS/2025/01/01/100000.mseed
RS03AXPS,2025-01-01T10:10:00Z,2025-01-01T10:20:00Z,ooi://RS03AXPS/2025/01/01/101000.mseed
RS03AXPS,2025-01-01T10:20:00Z,2025-01-01T10:30:00Z,ooi://RS03AXPS/2025/01/01/102000.mseed
RS03AXPS,2025-01-01T10:30:00Z,2025-01-01T10:40:00Z,ooi://RS03AXPS/2025/01/01/103000.mseed
RS03AXPS,2025-01-01T10:40:00Z,2025-01-01T10:50:00Z,ooi://RS03AXPS/2025/01/01/104000.mseed
RS03AXPS,2025-01-01T10:50:00Z,2025-01-01T11:00:00Z,ooi://RS03AXPS/2025/01/01/105000.mseed
RS03AXPS,2025-01-01T11:00:00Z,2025-01-01T11:10:00Z,ooi://RS03AXPS/2025/01/01/110000.mseed
RS03AXPS,2025-01-01T11:10:00Z,2025-01-01T11:20:00Z,ooi://RS03AXPS/2025/01/01/111000.mseed
RS03AXPS,2025-01-01T11:20:00Z,2025-01-01T11:30:00Z,ooi://RS03AXPS/2025/01/01/112000.mseed
RS03AXPS,2025-01-01T11:30:00Z,2025-01-01T11:40:00Z,ooi://RS03AXPS/2025/01/01/113000.mseed
